responses_comment;questionaire_uuid;responses_time;wm_config;wm_testId;wm_date;responses_score;wm_id;wm_type;responses_stimulus
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;79;japanese_test_2;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;japanese_test_2;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;56;japanese_test_2;mushra;C1_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;16;japanese_test_2;mushra;C2_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;62;japanese_test_2;mushra;C2_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;16;japanese_test_2;mushra;C5_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;82;japanese_test_2;mushra;C5_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;japanese_test_2;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;84;japanese_test_2;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;97;japanese_test_2;mushra;reference_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;54984;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;33;japanese_test_2;mushra;reference_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;15;mandarin_test_1;mushra;C4_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;76;mandarin_test_1;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_1;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;80;mandarin_test_1;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;15;mandarin_test_1;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;37;mandarin_test_1;mushra;C1_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_1;mushra;C2_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;33;mandarin_test_1;mushra;C2_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_1;mushra;reference_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;58370;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_1;mushra;reference_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_2;mushra;C4_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;79;mandarin_test_2;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_2;mushra;C2_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;78;mandarin_test_2;mushra;C2_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;30;mandarin_test_2;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_2;mushra;C1_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;70;mandarin_test_2;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;92;mandarin_test_2;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;mandarin_test_2;mushra;reference_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;53852;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;60;mandarin_test_2;mushra;reference_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;cantonese_test_1;mushra;C2_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;22;cantonese_test_1;mushra;C2_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;20;cantonese_test_1;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;71;cantonese_test_1;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;22;cantonese_test_1;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;84;cantonese_test_1;mushra;C1_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;26;cantonese_test_1;mushra;C4_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;76;cantonese_test_1;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;cantonese_test_1;mushra;reference_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;85;cantonese_test_1;mushra;reference_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;cantonese_test_1;mushra;C5_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;86138;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;84;cantonese_test_1;mushra;C5_2
