questionaire_uuid;wm_config;responses_comment;wm_id;wm_testId;responses_stimulus;responses_score;wm_type;wm_date;responses_time
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C2_2;62;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C5_1;16;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C5_2;82;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C3_1;100;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C3_2;84;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;reference_1;97;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;reference_2;33;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C4_1;15;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C4_2;76;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C3_1;100;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C3_2;80;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C1_1;15;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C1_2;37;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C2_1;100;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;C2_2;33;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;reference_1;100;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_1;mushra_noloop_nowav;reference_2;100;mushra;2025-04-30 13:28:45.610498;58370
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C4_1;100;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C4_2;79;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C2_1;100;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C2_2;78;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C1_1;30;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C1_2;100;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C3_1;70;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;C3_2;92;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;reference_1;100;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;mandarin_test_2;mushra_noloop_nowav;reference_2;60;mushra;2025-04-30 13:28:45.610498;53852
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C2_1;100;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C2_2;22;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C3_1;20;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C3_2;71;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C1_1;22;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C1_2;84;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C4_1;26;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C4_2;76;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;reference_1;100;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;reference_2;85;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C5_1;100;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_1;mushra_noloop_nowav;C5_2;84;mushra;2025-04-30 13:28:45.610498;86138
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C2_1;100;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C2_2;84;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C3_1;100;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;C3_2;77;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;reference_1;49;mushra;2025-04-30 13:28:45.610498;57369
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;cantonese_test_2;mushra_noloop_nowav;reference_2;64;mushra;2025-04-30 13:28:45.610498;57369
