wm_date;wm_id;wm_config;wm_testId;questionaire_uuid;responses_stimulus;responses_time;wm_type;responses_score;responses_comment
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_1;58370;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_2;58370;mushra;80;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_1;58370;mushra;15;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_2;58370;mushra;37;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_1;58370;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_2;58370;mushra;33;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_1;58370;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_2;58370;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_1;53852;mushra;100;
2025-04-30 13:28:45.610498;mandarin_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_2;53852;mushra;79;
